Offense,Offense Conference,Defense,Defense Conference,Game Id,Id,Drive Number,Scoring,Start Period,Start Yardline,Start Yards To Goal,Start Time Minutes,Start Time Seconds,End Period,End Yardline,End Yards To Goal,End Time Minutes,End Time Seconds,Elapsed Seconds,Elapsed Minutes,Plays,Yards,Drive Result,Is Home Offense,Start Offense Score,Start Defense Score,End Offense Score,End Defense Score
Abilene Christian,UAC,Texas Tech,Big 12,401636613,4016366131,1,FALSE,1,75,75,15,0,1,74,74,14,6,54,0,3,1,PUNT,FALSE,0,0,0,0
Texas Tech,Big 12,Abilene Christian,UAC,401636613,4016366132,2,TRUE,1,29,71,14,6,1,100,0,10,38,28,3,10,71,TD,TRUE,0,0,7,0
Abilene Christian,UAC,Texas Tech,Big 12,401636613,4016366133,3,FALSE,1,91,91,10,33,1,83,83,8,42,51,1,5,8,FUMBLE,FALSE,0,7,0,7
Texas Tech,Big 12,Abilene Christian,UAC,401636613,4016366134,4,TRUE,1,83,17,8,42,1,100,0,8,18,24,0,2,17,TD,TRUE,7,0,15,0
Abilene Christian,UAC,Texas Tech,Big 12,401636613,4016366135,5,TRUE,1,80,80,8,18,1,0,0,3,42,36,4,9,80,TD,FALSE,0,15,7,15
Texas Tech,Big 12,Abilene Christian,UAC,401636613,4016366136,6,TRUE,1,25,75,3,42,1,100,0,1,34,8,2,6,75,TD,TRUE,15,7,22,7
Abilene Christian,UAC,Texas Tech,Big 12,401636613,4016366137,7,TRUE,1,75,75,1,34,2,0,0,11,52,42,4,11,75,TD,FALSE,7,22,13,22
Texas Tech,Big 12,Abilene Christian,UAC,401636613,4016366138,8,TRUE,2,74,26,11,36,2,79,21,9,58,38,1,4,5,FG,TRUE,22,13,25,14
Abilene Christian,UAC,Texas Tech,Big 12,401636613,4016366139,9,FALSE,2,75,75,9,58,2,64,64,6,46,12,3,6,11,PUNT,FALSE,14,25,14,25
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661310,10,TRUE,2,30,70,6,46,2,100,0,2,55,51,3,9,70,TD,TRUE,25,14,32,14
Abilene Christian,UAC,Texas Tech,Big 12,401636613,40163661311,11,TRUE,2,75,75,2,55,2,0,0,1,50,5,1,3,75,TD,FALSE,14,32,21,32
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661312,12,FALSE,2,25,75,1,50,2,38,62,0,32,18,1,4,13,PUNT,TRUE,32,21,32,21
Abilene Christian,UAC,Texas Tech,Big 12,401636613,40163661313,13,FALSE,2,83,83,0,32,2,69,69,0,0,32,0,2,14,END OF HALF,FALSE,21,32,21,32
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661314,14,FALSE,3,29,71,14,54,3,96,4,9,37,17,5,13,67,DOWNS,TRUE,32,21,32,21
Abilene Christian,UAC,Texas Tech,Big 12,401636613,40163661315,15,TRUE,3,96,96,9,37,3,0,0,5,10,27,4,10,96,TD,FALSE,21,32,28,32
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661316,16,TRUE,3,65,35,4,57,3,100,0,4,50,7,0,1,35,TD,TRUE,32,28,39,28
